Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
10,Jalen Brunson,28,NYK,PG,65,65,35.4,9,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26,
11,Paolo Banchero,22,ORL,PF,46,46,34.4,9,19.8,0.452,1.9,5.9,0.32,7.1,13.9,0.509,0.5,6.1,8.4,0.727,1.1,6.4,7.5,4.8,0.8,0.6,3,2.1,25.9,
12,Devin Booker,28,PHO,SG,75,75,37.3,8.7,18.9,0.461,2.4,7.3,0.332,6.3,11.6,0.542,0.525,5.8,6.4,0.894,1,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,
13,LaMelo Ball,23,CHO,PG,47,47,32,8.6,21.3,0.405,3.8,11.2,0.339,4.8,10.1,0.478,0.494,4.1,4.9,0.843,1,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,
14,Damian Lillard,34,MIL,PG,58,58,36.1,7.7,17.1,0.448,3.4,9,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,
15,Anthony Davis,31,2TM,PF,51,51,33.5,9.2,17.8,0.516,0.7,2.4,0.282,8.5,15.4,0.553,0.536,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,
15,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,
15,Anthony Davis,31,DAL,PF,9,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,7,13.6,0.516,0.484,3.7,5.3,0.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20,
16,Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,0.473,2.9,7.2,0.401,6.1,11.7,0.517,0.549,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2,24.7,
17,Zion Williamson,24,NOP,PF,30,30,28.6,9.6,16.9,0.567,0.1,0.4,0.231,9.5,16.5,0.576,0.57,5.3,8,0.656,2.5,4.7,7.2,5.3,1.2,0.9,3,2.7,24.6,
