Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
356,Robert Williams,27,POR,C,19,3,17.2,2.4,3.8,0.63,0.1,0.2,0.333,2.4,3.7,0.643,0.637,0.8,0.9,0.882,1.8,4.1,5.9,1.1,0.6,1.6,0.9,1.5,5.7,
357,Drew Eubanks,27,2TM,C,40,4,14.9,2.3,3.8,0.616,0.1,0.1,0.6,2.3,3.7,0.616,0.626,0.9,1.4,0.632,1.1,3.3,4.4,1.1,0.3,0.8,0.8,1.2,5.6,
358,Drew Eubanks,27,UTA,C,37,4,15.4,2.4,3.9,0.607,0.1,0.1,0.6,2.3,3.8,0.607,0.617,1,1.5,0.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,
359,Drew Eubanks,27,LAC,C,3,0,8.7,1.7,2,0.833,0,0,,1.7,2,0.833,0.833,0,0,,1.3,1.7,3,0,0,0.3,0,0.3,3.3,
360,Jamison Battle,23,TOR,SF,36,0,12.7,1.9,4.1,0.47,1.3,3.1,0.429,0.6,1,0.595,0.631,0.3,0.4,0.857,0.6,1.3,1.8,0.9,0.1,0.1,0.3,1.1,5.6,
361,Seth Curry,34,CHO,SG,42,8,13.8,2.1,4.4,0.475,1.1,2.3,0.464,1,2,0.488,0.598,0.4,0.4,0.889,0.4,1.1,1.5,0.6,0.4,0.1,0.4,0.9,5.6,
362,Kenrich Williams,30,OKC,PF,40,1,14.7,2.2,4.6,0.481,0.8,2.3,0.363,1.4,2.3,0.598,0.571,0.4,0.4,0.882,1,2.5,3.4,1.1,0.7,0.1,0.6,1.6,5.6,
363,Kevin Love,36,MIA,PF,19,6,10.9,1.8,5.2,0.354,1.1,3.1,0.362,0.7,2.2,0.341,0.46,0.7,1,0.684,0.9,3.2,4.1,1,0.7,0.1,0.7,0.9,5.5,
364,Jeremiah Robinson-Earl,24,NOP,PF,42,6,17.9,2.1,4.8,0.441,0.7,2.2,0.301,1.5,2.6,0.56,0.51,0.6,0.7,0.862,1.7,3,4.7,1.2,0.7,0.1,0.7,1.3,5.5,
365,Gabe Vincent,28,LAL,PG,43,6,20.4,2.1,5.1,0.407,1.2,3.5,0.349,0.9,1.6,0.536,0.527,0.1,0.2,0.5,0.3,1,1.2,1.4,0.7,0.2,0.7,2.1,5.5,
366,Lindy Waters III,27,GSW,SG,38,9,17.2,2,5.4,0.371,1.3,3.9,0.331,0.7,1.5,0.474,0.49,0.2,0.3,0.727,0.4,2.1,2.6,1.1,0.6,0.3,0.4,1.4,5.5,
367,Jaylen Clark,23,MIN,SG,11,0,13.5,1.8,3.6,0.5,0.8,1.6,0.5,1,2,0.5,0.613,0.9,1.3,0.714,0.8,0.8,1.6,0.5,0.5,0.1,0.2,1.5,5.4,
368,DaQuan Jeffries,27,CHO,SG,18,1,18.1,2,4.7,0.424,0.9,2.7,0.354,1.1,2.1,0.514,0.524,0.4,0.5,0.889,0.9,2,2.9,1.2,0.7,0.4,0.6,2,5.4,
369,Vince Williams Jr.,24,MEM,SG,5,0,14.4,2,5.4,0.37,0.4,2,0.2,1.6,3.4,0.471,0.407,1,2,0.5,1.4,1.6,3,2.4,0.4,0.4,1.4,2.2,5.4,
370,Kyle Anderson,31,GSW,PF,36,3,15,2.1,4.7,0.45,0.5,1.4,0.365,1.6,3.3,0.487,0.506,0.5,0.8,0.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,
371,Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,
372,Luke Kornet,29,BOS,C,47,7,17.2,2.2,3.3,0.662,0,0,,2.2,3.3,0.662,0.662,1,1.3,0.754,2.3,2.8,5.1,1.6,0.5,1,0.4,1.5,5.3,
373,Jonathan Mogbo,23,TOR,PF,39,7,16.9,2.1,4.4,0.471,0.3,0.8,0.4,1.7,3.6,0.486,0.506,0.9,1.3,0.714,1.7,2.4,4.2,1.6,0.7,0.4,0.8,1.9,5.3,
374,Neemias Queta,25,BOS,C,41,5,14.8,2.2,3.4,0.655,0,0,0,2.2,3.3,0.664,0.655,0.9,1.2,0.729,1.5,2.3,3.8,0.7,0.3,0.7,0.6,1.8,5.3,
375,Isaiah Wong,24,CHO,SG,18,0,12.6,1.8,4.9,0.36,0.5,1.6,0.31,1.3,3.3,0.383,0.41,1.3,1.8,0.719,0.8,0.9,1.7,1.4,0.6,0,0.8,1.1,5.3,
376,Richaun Holmes,31,WAS,PF,15,3,15,2.1,3.5,0.596,0,0.1,0,2.1,3.3,0.62,0.596,1.1,1.3,0.8,1.6,3.3,4.9,1.1,0.1,0.6,0.4,1.2,5.2,
